Collections,Sales,Buyers,Txns,Owners
Axie Infinity,"$4,065,032,779","1,724,932","15,829,552","2,560,082"
CryptoPunks,"$2,219,339,345","5,489","20,892","3,634"
Bored Ape Yacht Club,"$1,918,212,623","10,878","28,329",
Mutant Ape Yacht Club,"$1,357,836,830","19,663","36,153",
Art Blocks,"$1,234,293,195","28,912","153,656","33,996"
NBA Top Shot,"$990,811,487","427,724","19,456,210","679,149"
CloneX,"$619,974,876","8,533","16,355",
Azuki,"$615,624,302","12,036","25,623",
VeeFriends,"$535,038,866","6,123","13,471",
Moonbirds,"$481,046,853","11,716","15,868",
Meebits,"$480,996,069","10,997","30,685",
Doodles,"$412,908,187","11,536","23,059",
The Sandbox,"$370,969,230","24,617","54,742","19,035"
Cool Cats,"$348,832,369","11,119","29,323",
Bored Ape Kennel Club,"$315,413,269","9,451","21,775",
Sorare,"$294,429,218","88,948","2,051,209","119,559"
Loot,"$278,840,596","4,085","11,438",
World Of Women,"$234,262,730","10,114","25,561",
CrypToadz,"$232,171,691","9,136","20,368","4,223"
Crabada,"$221,903,589","9,467","175,762",
Parallel Alpha,"$218,796,855","21,521","102,141",
CyberKongz,"$197,460,955","3,846","6,511",
Farmers World,"$196,261,760","69,684","4,734,683","205,035"
Bored Ape Chemistry Club,"$183,659,618","2,114","3,720",
Solana Monkey Business,"$183,066,416","4,129","10,013","6,348"
MekaVerse,"$175,025,000","6,567","13,456","4,763"
Pudgy Penguins,"$171,976,035","12,642","32,750","4,463"
PUNKS Comic,"$169,548,880","4,464","11,412","3,551"
Zed Horse,"$167,891,325","66,958","435,505",
0N1 Force,"$159,126,162","9,025","19,834","4,267"
HAPE PRIME,"$155,585,116","6,157","10,751",
NFT Worlds,"$147,079,324","8,260","19,122",
Zed Run,"$140,585,994","62,926","255,098","57,369"
RTFKT MNLTH,"$137,179,470","4,541","7,275",1
Degenerate Ape Academy,"$136,519,451","7,455","20,190","5,124"
RTFKT CloneX Mintvial,"$131,750,402","2,725","5,844",1
adidas Originals,"$128,407,028","24,097","35,496",1
Karafuru,"$126,231,778","9,014","14,086",
Creature World NFT,"$118,461,567","12,159","25,222","6,223"
Curio Cards,"$117,363,269","7,505","23,201",1
FLUF World,"$114,177,951","6,991","20,131",
Invisible Friends,"$112,656,978","7,500","9,623",
mfer,"$111,173,811","11,585","24,827",
Emblem Vault,"$110,337,790","4,991","18,462","5,526"
Beanz,"$105,881,916","3,555","6,894",
PhantaBear,"$105,862,045","8,440","17,060","5,150"
MurakamiFlowers Seed,"$103,575,779","3,617","5,423",1
Prime Ape Planet,"$103,290,744","8,572","16,000",
Cool Pets,"$102,544,451","15,994","25,061",
LOSTPOETS,"$100,702,515","8,563","25,048","5,828"
The Doge Pound,"$96,509,165","8,179","16,153","5,498"
The n project,"$95,542,367","5,160","13,071","1,813"
Lazy Lions,"$94,881,442","11,136","26,611","5,103"
Kaiju Kingz,"$94,191,823","5,590","8,631","3,530"
DeadFellaz,"$92,309,269","12,684","26,133",
